"cor","var1","var2"
-0.251111805186197,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)"
-0.258998470140895,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-00-01:国家财政-财政收支总额及增长-财政支出(亿元)"
0.319054050009102,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-00-02:国家财政-财政收支总额及增长-收支差额(亿元)"
0.293236788114132,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-00-03:国家财政-财政收支总额及增长-财政收入增长速度(%)"
0.306562652881042,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-00-04:国家财政-财政收支总额及增长-财政支出增长速度(%)"
-0.393489450701933,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-00-05:国家财政-财政收支总额及增长-财政收入占国内生产总值的比重(%)"
-0.255866899618881,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-04-00:国家财政-各项税收-税收合计(亿元)"
-0.286331812982586,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-04-01:国家财政-各项税收-增值税(亿元)"
-0.252203202580838,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-04-02:国家财政-各项税收-营业税(亿元)"
-0.179473487272712,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-04-03:国家财政-各项税收-消费税(亿元)"
-0.296667640439028,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-04-04:国家财政-各项税收-关税(亿元)"
NA,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-04-05:国家财政-各项税收-农业个税(亿元)"
-0.233052945016547,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","02-04-06:国家财政-各项税收-企业所得税(亿元)"
-0.237907304422712,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","04-01-00:国民经济-国内生产总值(GDP) 季度累计统计-国内生产总值(亿元)"
0.57084050146277,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","04-01-01:国民经济-国内生产总值(GDP) 季度累计统计-国内生产总值同比增长(%)"
-0.216955693636032,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","04-01-02:国民经济-国内生产总值(GDP) 季度累计统计-第一产业增加值(亿元)"
0.419781737161565,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","04-01-03:国民经济-国内生产总值(GDP) 季度累计统计-第一产业增加值同比增长(%)"
-0.239943427454795,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","04-01-04:国民经济-国内生产总值(GDP) 季度累计统计-第二产业增加值(亿元)"
0.662212869246984,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","04-01-05:国民经济-国内生产总值(GDP) 季度累计统计-第二产业增加值同比增长(%)"
-0.236571095248164,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","04-01-06:国民经济-国内生产总值(GDP) 季度累计统计-第三产业增加值(亿元)"
0.178314798337777,"05-00-00:价格指数-居民消费价格指数(CPI)-价格指数","04-01-07:国民经济-国内生产总值(GDP) 季度累计统计-第三产业增加值同比增长(%)"
