"cor","var1","var2"
0.999207060600059,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","02-00-01:国家财政-财政收支总额及增长-财政支出(亿元)"
0.910787268913869,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","02-00-05:国家财政-财政收支总额及增长-财政收入占国内生产总值的比重(%)"
0.999809375511719,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","02-04-00:国家财政-各项税收-税收合计(亿元)"
0.989217264132904,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","02-04-01:国家财政-各项税收-增值税(亿元)"
0.999213848839189,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","02-04-02:国家财政-各项税收-营业税(亿元)"
0.986732366332944,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","02-04-03:国家财政-各项税收-消费税(亿元)"
0.980168995583425,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","02-04-04:国家财政-各项税收-关税(亿元)"
0.997396906682389,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","02-04-06:国家财政-各项税收-企业所得税(亿元)"
0.997452311188671,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","04-02-00:国民经济-支出法国内生产总值结构-居民消费支出(亿元)"
0.997968792865255,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","04-02-03:国民经济-支出法国内生产总值结构-政府消费支出(亿元)"
0.998958133459798,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","04-02-08:国民经济-支出法国内生产总值结构-固定资本形成总额(亿元)"
0.9123292502713,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","04-02-09:国民经济-支出法国内生产总值结构-存货增加(亿元)"
0.996126474521547,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","01-01-00:金融信息-货币供应量-货币和准货币（广义货币M2）(亿元)"
0.992602776524904,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","01-01-02:金融信息-货币供应量-货币(狭义货币M1)(亿元)"
0.986772958705399,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","01-01-04:金融信息-货币供应量-流通中现金(M0)(亿元)"
0.991383161436989,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","01-01-06:金融信息-货币供应量-活期存款(亿元)"
0.992551376584407,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","01-01-08:金融信息-货币供应量-准货币(亿元)"
0.9896843423785,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","01-01-10:金融信息-货币供应量-定期存款(亿元)"
0.995780548585946,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","01-01-12:金融信息-货币供应量-储蓄存款(亿元)"
0.938631291386756,"02-00-00:国家财政-财政收支总额及增长-财政收入(亿元)","01-05-00:金融信息-央行黄金和外汇储备-黄金储备(万盎司)"
